title,genre,price,star_rating,stock_availability,book_image,last_updated_at_UTC
The Red Tent,Historical Fiction,35.66,Five,In stock,https://books.toscrape.com/media/cache/b2/8f/b28f211e50e74445ca071d4279d1080d.jpg,07-Jun-2022 14:24:51
The Last Painting of Sara de Vos,Historical Fiction,55.55,Two,In stock,https://books.toscrape.com/media/cache/bf/fd/bffd473ab232c5f35e8c81bb927f1624.jpg,07-Jun-2022 14:24:51
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,One,In stock,https://books.toscrape.com/media/cache/18/f7/18f7bf6366cd7a8b947fd790d808047b.jpg,07-Jun-2022 14:24:51
Girl in the Blue Coat,Historical Fiction,46.83,Two,In stock,https://books.toscrape.com/media/cache/bf/7a/bf7a5bc1d1ebac5e9b6fbb147828a123.jpg,07-Jun-2022 14:24:51
Between Shades of Gray,Historical Fiction,20.79,Five,In stock,https://books.toscrape.com/media/cache/f9/19/f919f64fc0e3642cdc604134bfd93774.jpg,07-Jun-2022 14:24:52
While You Were Mine,Historical Fiction,41.32,Five,In stock,https://books.toscrape.com/media/cache/45/e8/45e87bcad554d79eadf0f89df9cac6f9.jpg,07-Jun-2022 14:24:52
The Secret Healer,Historical Fiction,34.56,Three,In stock,https://books.toscrape.com/media/cache/69/d2/69d225899cce0a150c605ead01e02f60.jpg,07-Jun-2022 14:24:52
Starlark,Historical Fiction,25.83,Three,In stock,https://books.toscrape.com/media/cache/b4/9e/b49e66e8f446d9a3dae488955f2aa487.jpg,07-Jun-2022 14:24:52
Lost Among the Living,Historical Fiction,27.70,Four,In stock,https://books.toscrape.com/media/cache/5a/40/5a40d914bc3491e5909f1167f9cb34f2.jpg,07-Jun-2022 14:24:52
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97,Five,In stock,https://books.toscrape.com/media/cache/1b/5f/1b5ff86f3c75e51e24c573d3f8bffd8f.jpg,07-Jun-2022 14:24:52
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,Five,In stock,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,07-Jun-2022 14:24:54
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,One,In stock,https://books.toscrape.com/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,07-Jun-2022 14:24:54
This One Summer,Sequential Art,19.49,Four,In stock,https://books.toscrape.com/media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,07-Jun-2022 14:24:54
The Nameless City (The Nameless City #1),Sequential Art,38.16,Four,In stock,https://books.toscrape.com/media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg,07-Jun-2022 14:24:54
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,Two,In stock,https://books.toscrape.com/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg,07-Jun-2022 14:24:54
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,50.40,Three,In stock,https://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg,07-Jun-2022 14:24:54
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,13.61,Five,In stock,https://books.toscrape.com/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg,07-Jun-2022 14:24:54
"Pop Gun War, Volume 1: Gift",Sequential Art,18.97,One,In stock,https://books.toscrape.com/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg,07-Jun-2022 14:24:54
Patience,Sequential Art,10.16,Three,In stock,https://books.toscrape.com/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg,07-Jun-2022 14:24:54
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,15.44,Four,In stock,https://books.toscrape.com/media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg,07-Jun-2022 14:24:54
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,48.41,One,In stock,https://books.toscrape.com/media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg,07-Jun-2022 14:24:54
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,46.91,Two,In stock,https://books.toscrape.com/media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg,07-Jun-2022 14:24:54
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,45.61,Three,In stock,https://books.toscrape.com/media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg,07-Jun-2022 14:24:54
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,19.92,Two,In stock,https://books.toscrape.com/media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg,07-Jun-2022 14:24:54
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,29.17,Two,In stock,https://books.toscrape.com/media/cache/aa/74/aa74004807e97a79aa084b5db329a99b.jpg,07-Jun-2022 14:24:54
I am a Hero Omnibus Volume 1,Sequential Art,54.63,Three,In stock,https://books.toscrape.com/media/cache/16/d4/16d443437126bf6d536a89312c1995a5.jpg,07-Jun-2022 14:24:54
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,22.11,Two,In stock,https://books.toscrape.com/media/cache/90/6f/906f0168b0e155a7077625499b1737b5.jpg,07-Jun-2022 14:24:54
Danganronpa Volume 1,Sequential Art,51.99,Four,In stock,https://books.toscrape.com/media/cache/78/97/7897eea91c4a85aca58d925861d4afec.jpg,07-Jun-2022 14:24:54
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,36.72,Four,In stock,https://books.toscrape.com/media/cache/f6/88/f688a9d6a89fdf38e4e88439ee9eda69.jpg,07-Jun-2022 14:24:54
Camp Midnight,Sequential Art,17.08,Four,In stock,https://books.toscrape.com/media/cache/dd/c9/ddc95df6754df8e71bf969c088056188.jpg,07-Jun-2022 14:24:54
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,37.92,Two,In stock,https://books.toscrape.com/media/cache/e4/1d/e41d34204a1fffbf825d8beb3dbf4cbc.jpg,07-Jun-2022 14:24:55
The Shadow Hero (The Shadow Hero),Sequential Art,33.14,One,In stock,https://books.toscrape.com/media/cache/1f/62/1f621dda1b302fc16d83d94b0b5ac31c.jpg,07-Jun-2022 14:24:55
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,41.62,Four,In stock,https://books.toscrape.com/media/cache/51/8c/518c184a793b751b43045637c8002eb7.jpg,07-Jun-2022 14:24:55
Batman: The Long Halloween (Batman),Sequential Art,36.50,Two,In stock,https://books.toscrape.com/media/cache/78/a7/78a7f184a4d6d62412861c68f1c3ad90.jpg,07-Jun-2022 14:24:55
Batman: The Dark Knight Returns (Batman),Sequential Art,15.38,Five,In stock,https://books.toscrape.com/media/cache/be/a9/bea95dbd7b2a843519c9a1dcfc433f9b.jpg,07-Jun-2022 14:24:55
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,37.34,Four,In stock,https://books.toscrape.com/media/cache/19/39/19396172462f4cc0504d4e6e8b0e1647.jpg,07-Jun-2022 14:24:55
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,53.90,One,In stock,https://books.toscrape.com/media/cache/66/d6/66d6d2b4c0acfa8f40ad0285186ed2d8.jpg,07-Jun-2022 14:24:55
Through the Woods,Sequential Art,25.38,Two,In stock,https://books.toscrape.com/media/cache/4c/af/4caf8f2a5ee8828d408cc8faadd3419c.jpg,07-Jun-2022 14:24:55
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,11.89,Five,In stock,https://books.toscrape.com/media/cache/7e/c0/7ec0e9ca6153a23b2024b7df7407ee84.jpg,07-Jun-2022 14:24:55
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,35.43,Four,In stock,https://books.toscrape.com/media/cache/b2/48/b2484d13793ff1c4271a3d4023d4d24e.jpg,07-Jun-2022 14:24:55
Robin War,Sequential Art,47.82,Three,In stock,https://books.toscrape.com/media/cache/45/1d/451d3543022242b8b245793e6b5c26bb.jpg,07-Jun-2022 14:24:55
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,25.48,Two,In stock,https://books.toscrape.com/media/cache/da/78/da78757466c3b0a2c89f0ddf6b5e642f.jpg,07-Jun-2022 14:24:55
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,38.39,Two,In stock,https://books.toscrape.com/media/cache/c8/22/c822360ce0f91c40f7a0491c22287646.jpg,07-Jun-2022 14:24:55
Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,51.51,Two,In stock,https://books.toscrape.com/media/cache/b2/97/b2978e96069dd91785e5ab0bc99c022e.jpg,07-Jun-2022 14:24:55
El Deafo,Sequential Art,57.62,Five,In stock,https://books.toscrape.com/media/cache/34/eb/34eb0f1b570d4f1f6ad106652f1ac6ff.jpg,07-Jun-2022 14:24:55
Batman: Europa,Sequential Art,32.01,Two,In stock,https://books.toscrape.com/media/cache/f1/fe/f1fecf0ce9b5771e4d2c9619e8550988.jpg,07-Jun-2022 14:24:55
Art Ops Vol. 1,Sequential Art,48.80,Three,In stock,https://books.toscrape.com/media/cache/0b/b4/0bb4c64f1522c033368df5567a349472.jpg,07-Jun-2022 14:24:55
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,10.90,Two,In stock,https://books.toscrape.com/media/cache/a2/b9/a2b974e5a66e7502c77d2e4632abe033.jpg,07-Jun-2022 14:24:55
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,33.95,Four,In stock,https://books.toscrape.com/media/cache/7c/ea/7cea6ff4f6f1427739b136db35fbfad4.jpg,07-Jun-2022 14:24:55
Roller Girl,Sequential Art,14.10,Five,In stock,https://books.toscrape.com/media/cache/b8/bd/b8bd3e5bc547c7c851689a844c9db429.jpg,07-Jun-2022 14:24:55
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,19.57,One,In stock,https://books.toscrape.com/media/cache/b4/36/b43672509477baa090e57ebeacbb28fb.jpg,07-Jun-2022 14:24:57
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,20.96,Four,In stock,https://books.toscrape.com/media/cache/94/1a/941a14dec32f0a949c38a325a715c138.jpg,07-Jun-2022 14:24:57
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,36.39,Three,In stock,https://books.toscrape.com/media/cache/07/5c/075c210f5ce43b84d29646a54529d1bd.jpg,07-Jun-2022 14:24:57
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,16.33,One,In stock,https://books.toscrape.com/media/cache/51/cf/51cf19c74f21a7043910615fefcf0847.jpg,07-Jun-2022 14:24:57
"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,52.41,One,In stock,https://books.toscrape.com/media/cache/4e/c1/4ec161cc09ee437c9eda6d437d232a11.jpg,07-Jun-2022 14:24:57
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Sequential Art,27.88,Two,In stock,https://books.toscrape.com/media/cache/47/71/477173fe3000a6da4b241c2e71a21418.jpg,07-Jun-2022 14:24:57
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Sequential Art,50.44,Four,In stock,https://books.toscrape.com/media/cache/38/79/38794d8729a111018260d931e7101de2.jpg,07-Jun-2022 14:24:57
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Sequential Art,14.41,Three,In stock,https://books.toscrape.com/media/cache/ee/ed/eeeddf8af9e6cc8c7f71c0e41de1b562.jpg,07-Jun-2022 14:24:57
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,55.55,Five,In stock,https://books.toscrape.com/media/cache/bb/18/bb1845c22faea465cad3d556d22936a2.jpg,07-Jun-2022 14:24:57
"Saga, Volume 3 (Saga (Collected Editions) #3)",Sequential Art,21.57,Five,In stock,https://books.toscrape.com/media/cache/d8/fd/d8fd30b3e5781e880a3efe4c9495b417.jpg,07-Jun-2022 14:24:57
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Sequential Art,43.63,Three,In stock,https://books.toscrape.com/media/cache/c9/a5/c9a559e3ba407c1d70ebfc4e2f0d82db.jpg,07-Jun-2022 14:24:57
Persepolis: The Story of a Childhood (Persepolis #1-2),Sequential Art,39.13,One,In stock,https://books.toscrape.com/media/cache/14/98/14987a55d9609e706d2619814e2a8b0a.jpg,07-Jun-2022 14:24:57
Original Fake,Sequential Art,31.45,Three,In stock,https://books.toscrape.com/media/cache/e7/29/e72934871f9b42a807d976670a446e12.jpg,07-Jun-2022 14:24:57
"Grayson, Vol 3: Nemesis (Grayson #3)",Sequential Art,42.72,One,In stock,https://books.toscrape.com/media/cache/f9/4c/f94cfc3c82abb799568d1ea029b1d3d1.jpg,07-Jun-2022 14:24:57
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Sequential Art,45.17,Two,In stock,https://books.toscrape.com/media/cache/7b/e7/7be75475a916d6df4edebfc5fe36c3f9.jpg,07-Jun-2022 14:24:57
"Black Butler, Vol. 1 (Black Butler #1)",Sequential Art,49.31,One,In stock,https://books.toscrape.com/media/cache/99/48/9948564dec3ac2f9e32419911b181e37.jpg,07-Jun-2022 14:24:57
Awkward,Sequential Art,38.02,Two,In stock,https://books.toscrape.com/media/cache/41/72/417255e608c389aedfb68491dae92c9c.jpg,07-Jun-2022 14:24:57
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Sequential Art,54.81,One,In stock,https://books.toscrape.com/media/cache/e3/ae/e3ae48fe07d77611b49b5b78d99418ae.jpg,07-Jun-2022 14:24:57
"Saga, Volume 2 (Saga (Collected Editions) #2)",Sequential Art,11.75,Three,In stock,https://books.toscrape.com/media/cache/1a/eb/1aeb5d30809ad96d7c323228a2bd23d3.jpg,07-Jun-2022 14:24:57
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,11.64,Five,In stock,https://books.toscrape.com/media/cache/e9/fb/e9fb3236b73384253144f89b6eec6a68.jpg,07-Jun-2022 14:24:57
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Sequential Art,18.51,Four,In stock,https://books.toscrape.com/media/cache/ae/16/ae169bb5ae814e0fb900cdf9e99332a7.jpg,07-Jun-2022 14:24:58
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Sequential Art,36.52,Two,In stock,https://books.toscrape.com/media/cache/64/75/64752f8cdae54b164fb81bfd81accd55.jpg,07-Jun-2022 14:24:58
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Sequential Art,54.12,Three,In stock,https://books.toscrape.com/media/cache/56/ea/56eac75378feb4cab0dcb9d2101cf58b.jpg,07-Jun-2022 14:24:58
The Complete Maus (Maus #1-2),Sequential Art,10.64,Three,In stock,https://books.toscrape.com/media/cache/a6/f8/a6f889e0ba02be31875d3a324090ef5e.jpg,07-Jun-2022 14:24:58
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Sequential Art,42.12,Three,In stock,https://books.toscrape.com/media/cache/6c/60/6c607509837e2b362ffd7c0e15e7b1f9.jpg,07-Jun-2022 14:24:58
"Saga, Volume 1 (Saga (Collected Editions) #1)",Sequential Art,28.48,One,In stock,https://books.toscrape.com/media/cache/c6/ca/c6cab3f679acb45fd2eba092ec9f6a2a.jpg,07-Jun-2022 14:24:58
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Sequential Art,46.96,Five,In stock,https://books.toscrape.com/media/cache/0d/22/0d22f9ee696b7443d1573e7752645c6d.jpg,07-Jun-2022 14:24:58
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Sequential Art,21.71,Four,In stock,https://books.toscrape.com/media/cache/87/2b/872ba3b06a97e6662770bc2152595b84.jpg,07-Jun-2022 14:24:58
